occ_code,decile,share,source_tag,mu,sigma,n_points,fit_level
49-9012,9,0.1777785811723347,partial:OEWS_May2021_lognormal;D,11.033030051623827,0.3819918565014241,5,own
49-9012,10,0.11041979174756866,partial:OEWS_May2021_lognormal;D,11.033030051623827,0.3819918565014241,5,own
49-9021,1,0.007458064955832455,partial:OEWS_May2021_lognormal;D,10.81892717831128,0.32847525188287174,5,own
49-9021,2,0.040967326400517146,partial:OEWS_May2021_lognormal;D,10.81892717831128,0.32847525188287174,5,own
49-9021,3,0.08677469365743679,partial:OEWS_May2021_lognormal;D,10.81892717831128,0.32847525188287174,5,own
49-9021,4,0.1307193452545955,partial:OEWS_May2021_lognormal;D,10.81892717831128,0.32847525188287174,5,own
49-9021,5,0.1628856930333485,partial:OEWS_May2021_lognormal;D,10.81892717831128,0.32847525188287174,5,own
49-9021,6,0.17621671862109944,partial:OEWS_May2021_lognormal;D,10.81892717831128,0.32847525188287174,5,own
49-9021,7,0.16633035629716142,partial:OEWS_May2021_lognormal;D,10.81892717831128,0.32847525188287174,5,own
49-9021,8,0.1321011232129029,partial:OEWS_May2021_lognormal;D,10.81892717831128,0.32847525188287174,5,own
49-9021,9,0.07758003641428202,partial:OEWS_May2021_lognormal;D,10.81892717831128,0.32847525188287174,5,own
49-9021,10,0.018966642152823843,partial:OEWS_May2021_lognormal;D,10.81892717831128,0.32847525188287174,5,own
49-9031,1,0.019192341910462984,partial:OEWS_May2021_lognormal;D,10.674886376337792,0.3166054988577464,5,own
49-9031,2,0.0832763963466292,partial:OEWS_May2021_lognormal;D,10.674886376337792,0.3166054988577464,5,own
49-9031,3,0.14309775036127703,partial:OEWS_May2021_lognormal;D,10.674886376337792,0.3166054988577464,5,own
49-9031,4,0.17764396323299858,partial:OEWS_May2021_lognormal;D,10.674886376337792,0.3166054988577464,5,own
49-9031,5,0.18275162116544935,partial:OEWS_May2021_lognormal;D,10.674886376337792,0.3166054988577464,5,own
49-9031,6,0.16174216019415666,partial:OEWS_May2021_lognormal;D,10.674886376337792,0.3166054988577464,5,own
49-9031,7,0.12222052000392436,partial:OEWS_May2021_lognormal;D,10.674886376337792,0.3166054988577464,5,own
49-9031,8,0.074555858915345,partial:OEWS_May2021_lognormal;D,10.674886376337792,0.3166054988577464,5,own
49-9031,9,0.030970303341853578,partial:OEWS_May2021_lognormal;D,10.674886376337792,0.3166054988577464,5,own
49-9031,10,0.004549084527903258,partial:OEWS_May2021_lognormal;D,10.674886376337792,0.3166054988577464,5,own
49-9041,1,0.0006815511199790847,partial:OEWS_May2021_lognormal;D,10.938275564063126,0.28697389774443915,5,own
49-9041,2,0.009589048876180062,partial:OEWS_May2021_lognormal;D,10.938275564063126,0.28697389774443915,5,own
49-9041,3,0.036459989144951965,partial:OEWS_May2021_lognormal;D,10.938275564063126,0.28697389774443915,5,own
49-9041,4,0.08219130880109393,partial:OEWS_May2021_lognormal;D,10.938275564063126,0.28697389774443915,5,own
49-9041,5,0.13829577635947954,partial:OEWS_May2021_lognormal;D,10.938275564063126,0.28697389774443915,5,own
49-9041,6,0.18859159861517305,partial:OEWS_May2021_lognormal;D,10.938275564063126,0.28697389774443915,5,own
49-9041,7,0.21237922154027594,partial:OEWS_May2021_lognormal;D,10.938275564063126,0.28697389774443915,5,own
49-9041,8,0.19035833105902666,partial:OEWS_May2021_lognormal;D,10.938275564063126,0.28697389774443915,5,own
49-9041,9,0.11644667708209322,partial:OEWS_May2021_lognormal;D,10.938275564063126,0.28697389774443915,5,own
49-9041,10,0.02500649740174654,partial:OEWS_May2021_lognormal;D,10.938275564063126,0.28697389774443915,5,own
49-9043,1,0.00391323676062727,partial:OEWS_May2021_lognormal;D,10.826724035817216,0.30360986235530685,5,own
49-9043,2,0.030316106739369797,partial:OEWS_May2021_lognormal;D,10.826724035817216,0.30360986235530685,5,own
49-9043,3,0.07736621947492994,partial:OEWS_May2021_lognormal;D,10.826724035817216,0.30360986235530685,5,own
49-9043,4,0.12971738577313946,partial:OEWS_May2021_lognormal;D,10.826724035817216,0.30360986235530685,5,own
49-9043,5,0.1717037566148808,partial:OEWS_May2021_lognormal;D,10.826724035817216,0.30360986235530685,5,own
49-9043,6,0.19051610499381594,partial:OEWS_May2021_lognormal;D,10.826724035817216,0.30360986235530685,5,own
49-9043,7,0.17833095250576658,partial:OEWS_May2021_lognormal;D,10.826724035817216,0.30360986235530685,5,own
49-9043,8,0.13471059379879158,partial:OEWS_May2021_lognormal;D,10.826724035817216,0.30360986235530685,5,own
49-9043,9,0.07021226116877655,partial:OEWS_May2021_lognormal;D,10.826724035817216,0.30360986235530685,5,own
49-9043,10,0.013213382169902088,partial:OEWS_May2021_lognormal;D,10.826724035817216,0.30360986235530685,5,own
49-9044,1,0.0010087724124421826,partial:OEWS_May2021_lognormal;D,10.972608848846047,0.3087554198137526,5,own
49-9044,2,0.010775067666464688,partial:OEWS_May2021_lognormal;D,10.972608848846047,0.3087554198137526,5,own
49-9044,3,0.03564819164159183,partial:OEWS_May2021_lognormal;D,10.972608848846047,0.3087554198137526,5,own
49-9044,4,0.07500748099604942,partial:OEWS_May2021_lognormal;D,10.972608848846047,0.3087554198137526,5,own
49-9044,5,0.1230911188541054,partial:OEWS_May2021_lognormal;D,10.972608848846047,0.3087554198137526,5,own
49-9044,6,0.16960028698586432,partial:OEWS_May2021_lognormal;D,10.972608848846047,0.3087554198137526,5,own
49-9044,7,0.20012170912614613,partial:OEWS_May2021_lognormal;D,10.972608848846047,0.3087554198137526,5,own
49-9044,8,0.19717048001747117,partial:OEWS_May2021_lognormal;D,10.972608848846047,0.3087554198137526,5,own
