iso3,region_id,name,population,gdp_bn_usd,source_tag,continent,subregion,pop_year,gdp_year
TLS,RoA,Timor-Leste,1293119,2.017,real:natural_earth_admin0_50m,Asia,South-Eastern Asia,2019,2019
TON,"",Tonga,104494,0.512,real:natural_earth_admin0_50m,Oceania,Polynesia,2019,2019
TTO,"",Trinidad and Tobago,1394973,24.269,real:natural_earth_admin0_50m,North America,Caribbean,2019,2019
TUN,"",Tunisia,11694719,38.796,real:natural_earth_admin0_50m,Africa,Northern Africa,2019,2019
TUR,"",Turkey,83429615,761.425,real:natural_earth_admin0_50m,Asia,Western Asia,2019,2019
TUV,"",Tuvalu,11646,0.047,real:natural_earth_admin0_50m,Oceania,Polynesia,2019,2019
TWN,TW,Taiwan,23568378,1127.0,real:natural_earth_admin0_50m,Asia,Eastern Asia,2020,2016
TZA,"",Tanzania,58005463,63.177,real:natural_earth_admin0_50m,Africa,Eastern Africa,2019,2019
UGA,"",Uganda,44269594,35.165,real:natural_earth_admin0_50m,Africa,Eastern Africa,2019,2019
UKR,"",Ukraine,44385155,153.781,real:natural_earth_admin0_50m,Europe,Eastern Europe,2019,2019
URY,"",Uruguay,3461734,56.045,real:natural_earth_admin0_50m,South America,South America,2019,2019
USA,US,United States of America,328239523,21433.226,real:natural_earth_admin0_50m,North America,Northern America,2019,2019
UZB,"",Uzbekistan,33580650,57.921,real:natural_earth_admin0_50m,Asia,Central Asia,2019,2019
VAT,"",Vatican,825,0.0,real:natural_earth_admin0_50m,Europe,Southern Europe,2019,2019
VCT,"",St. Vin. and Gren.,110589,0.824,real:natural_earth_admin0_50m,North America,Caribbean,2019,2019
VEN,"",Venezuela,28515829,482.359,real:natural_earth_admin0_50m,South America,South America,2019,2014
VGB,"",British Virgin Is.,30030,0.5,real:natural_earth_admin0_50m,North America,Caribbean,2019,2017
VIR,"",U.S. Virgin Is.,106631,3.855,real:natural_earth_admin0_50m,North America,Caribbean,2019,2017
VNM,RoA,Vietnam,96462106,261.921,real:natural_earth_admin0_50m,Asia,South-Eastern Asia,2019,2019
VUT,"",Vanuatu,299882,0.934,real:natural_earth_admin0_50m,Oceania,Melanesia,2019,2019
WLF,"",Wallis and Futuna Is.,11558,0.06,real:natural_earth_admin0_50m,Oceania,Polynesia,2018,2016
WSM,"",Samoa,197097,0.852,real:natural_earth_admin0_50m,Oceania,Polynesia,2019,2019
YEM,"",Yemen,29161922,22.581,real:natural_earth_admin0_50m,Asia,Western Asia,2019,2019
ZAF,"",South Africa,58558270,351.431,real:natural_earth_admin0_50m,Africa,Southern Africa,2019,2019
ZMB,"",Zambia,17861030,23.309,real:natural_earth_admin0_50m,Africa,Eastern Africa,2019,2019
ZWE,"",Zimbabwe,14645468,21.44,real:natural_earth_admin0_50m,Africa,Eastern Africa,2019,2019
